D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_53_508.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_53_508.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_53_508.jpg,0,0,0,4.681763E-06
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_53_595.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_53_595.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_53_595.jpg,0,0,0,4.383965E-06
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_53_685.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_53_685.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_53_685.jpg,0,0,0,3.128423E-06
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_53_773.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_53_773.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_53_773.jpg,0,0,0,1.98208E-05
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_53_862.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_53_862.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_53_862.jpg,0,0,0,9.655205E-06
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_53_942.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_53_942.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_53_942.jpg,0,0,0,9.189269E-06
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_54_044.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_54_044.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_54_044.jpg,0,0,0,1.188306E-05
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_54_133.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_54_133.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_54_133.jpg,0,0,0,2.932252E-06
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_54_224.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_54_224.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_54_224.jpg,0,0,0,3.682789E-06
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_54_313.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_54_313.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_54_313.jpg,0,0,0,2.192086E-06
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_54_387.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_54_387.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_54_387.jpg,0,0,0,2.066116E-05
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_54_483.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_54_483.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_54_483.jpg,0,0,0,1.572799E-05
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_54_574.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_54_574.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_54_574.jpg,0,0,0,1.141694E-05
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_54_674.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_54_674.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_54_674.jpg,0,0,0,1.208167E-05
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_54_747.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_54_747.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_54_747.jpg,0,0,0,5.233758E-06
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_54_845.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_54_845.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_54_845.jpg,0,0,0,4.868918E-06
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_54_933.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_54_933.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_54_933.jpg,0,0,0,1.780489E-06
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_55_043.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_55_043.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_55_043.jpg,0,0.2954886,0,0.3883275
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_55_119.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_55_119.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_55_119.jpg,0,0.5167227,0,0.6986529
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_55_245.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_55_245.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_55_245.jpg,0,0.8410404,0,1.887178
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_55_333.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_55_333.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_55_333.jpg,0,1,0,2.835668
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_55_398.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_55_398.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_55_398.jpg,0,1,0,4.011494
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_55_481.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_55_481.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_55_481.jpg,0,1,0,4.945165
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_55_559.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_55_559.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_55_559.jpg,0,1,0,5.871315
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_55_669.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_55_669.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_55_669.jpg,-0.3,1,0,7.227343
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_55_761.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_55_761.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_55_761.jpg,-0.5000001,1,0,8.095704
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_55_856.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_55_856.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_55_856.jpg,-0.7500002,1,0,9.132841
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_55_922.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_55_922.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_55_922.jpg,-0.9000002,1,0,9.723728
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_56_040.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_56_040.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_56_040.jpg,0,1,0,10.9186
D:\projet(self_driving_car)\IMG\center_2019_12_29_23_49_56_128.jpg,D:\projet(self_driving_car)\IMG\left_2019_12_29_23_49_56_128.jpg,D:\projet(self_driving_car)\IMG\right_2019_12_29_23_49_56_128.jpg,0,1,0,11.62934
